symbol,date,open,high,low,close,volume,daily_price_change,price_range,price_direction,year,month
AAL,02-01-2014,25.07,25.82,25.06,25.36,8998943,0.29,0.76,Bullish,2014,Jan
AAPL,02-01-2014,79.3828,79.5756,78.8601,79.0185,58791957,-0.3643,0.7155,Bearish,2014,Jan
AAP,02-01-2014,110.36,111.88,109.29,109.74,542711,-0.62,2.59,Bearish,2014,Jan
ABBV,02-01-2014,52.12,52.33,51.52,51.98,4569061,-0.14,0.81,Bearish,2014,Jan
ABC,02-01-2014,70.11,70.23,69.48,69.89,1148391,-0.22,0.75,Bearish,2014,Jan
ABT,02-01-2014,38.09,38.4,38,38.23,4967472,0.14,0.4,Bullish,2014,Jan
ACN,02-01-2014,81.5,81.92,81.09,81.13,2405384,-0.37,0.83,Bearish,2014,Jan
ADBE,02-01-2014,59.06,59.53,58.94,59.29,2746370,0.23,0.59,Bullish,2014,Jan
ADI,02-01-2014,49.52,49.75,49.04,49.28,2799092,-0.24,0.71,Bearish,2014,Jan
ADM,02-01-2014,43.22,43.29,42.79,42.99,2753765,-0.23,0.5,Bearish,2014,Jan
ADP,02-01-2014,80.17,80.45,79.38,79.86,1965869,-0.31,1.07,Bearish,2014,Jan
ADSK,02-01-2014,49.33,49.74,48.88,49.25,2488043,-0.08,0.86,Bearish,2014,Jan
ADS,02-01-2014,262.44,262.68,258.78,262.34,547808,-0.1,3.9,Bearish,2014,Jan
AEE,02-01-2014,36.05,36.11,35.47,35.53,1394264,-0.52,0.64,Bearish,2014,Jan
AEP,02-01-2014,46.98,47.06,46.04,46.13,2752002,-0.85,1.02,Bearish,2014,Jan
AES,02-01-2014,14.51,14.56,14.19,14.27,3987216,-0.24,0.37,Bearish,2014,Jan
AET,02-01-2014,68.21,68.6,67.52,67.56,1650687,-0.65,1.08,Bearish,2014,Jan
AFL,02-01-2014,66.63,66.694,65.81,65.96,1914657,-0.67,0.884,Bearish,2014,Jan
AGN,02-01-2014,167.33,170.71,166.5937,168.05,1268722,0.72,4.1163,Bullish,2014,Jan
AIG,02-01-2014,50.81,51.3,50.47,50.71,9198092,-0.1,0.83,Bearish,2014,Jan
AIV,02-01-2014,25.9,26.14,25.66,25.91,844901,0.01,0.48,Bullish,2014,Jan
AIZ,02-01-2014,66.04,66.19,65.15,65.32,375524,-0.72,1.04,Bearish,2014,Jan
AJG,02-01-2014,46.67,46.89,46.09,46.15,483694,-0.52,0.8,Bearish,2014,Jan
AKAM,02-01-2014,47.11,47.1799,46.42,46.53,935107,-0.58,0.7599,Bearish,2014,Jan
ALB,02-01-2014,63.38,63.6,62.6,63.14,548782,-0.24,1,Bearish,2014,Jan
ALGN,02-01-2014,57.06,57.37,56.43,56.96,437600,-0.1,0.94,Bearish,2014,Jan
ALK,02-01-2014,36.665,36.965,36.275,36.59,900234,-0.075,0.69,Bearish,2014,Jan
ALLE,02-01-2014,44.08,44.18,43.27,43.65,992872,-0.43,0.91,Bearish,2014,Jan
ALL,02-01-2014,54.09,54.45,53.5,53.55,1909106,-0.54,0.95,Bearish,2014,Jan
ALXN,02-01-2014,132.46,133.82,130.54,133.44,760197,0.98,3.28,Bullish,2014,Jan
AMAT,02-01-2014,17.69,17.69,17.37,17.55,7785873,-0.14,0.32,Bearish,2014,Jan
AMD,02-01-2014,3.85,3.98,3.84,3.95,20569754,0.1,0.14,Bullish,2014,Jan
AME,02-01-2014,52.43,52.52,51.9,52.09,570244,-0.34,0.62,Bearish,2014,Jan
AMGN,02-01-2014,114.36,116.19,114.06,115.795,2529728,1.435,2.13,Bullish,2014,Jan
AMG,02-01-2014,215.92,216.69,211.79,213.38,285563,-2.54,4.9,Bearish,2014,Jan
AMP,02-01-2014,114.58,114.81,113.42,113.88,783767,-0.7,1.39,Bearish,2014,Jan
